countries	Corporate	Indirect	year	namae
Netherlands	25	21	2015	オランダ
New Zealand	28	15	2015	ニュージーランド
Norway	27	25	2015	ノルウェー
Philippines	30	12	2015	フィリピン
Poland	19	23	2015	ポーランド
Portugal	21	23	2015	ポルトガル
Russian Federation	20	18	2015	ロシア
Singapore	17	7	2015	シンガポール
Slovakia	22	20	2015	スロバキア
Slovenia	17	22	2015	スロベニア
Spain	28	21	2015	スペイン
Sweden	22	25	2015	スウェーデン
Switzerland	17.92	8	2015	スイス
Taiwan, Province of China	17	5	2015	台湾
Thailand	20	7	2015	タイ
Turkey	20	18	2015	トルコ
United Kingdom	20	20	2015	英国
United States	40	7.5	2015	米国
Viet Nam	22	10	2015	ベトナム
